参考汉字	参考读音	简要解释
钢精镬子	kaon32tsin21ghoh21tseh23	
饭镬子	ve21ghoh4tseh21	饭锅。
饭镬	ve21ghoh4	见ve ghoh tseh。饭锅。
铁镬子	thih5ghoh5tseh5	铁锅。
镬盖	ghoh32ke23	锅盖。
镬干[记音]盖	ghoh32koe21ke23	见ghoh ke。锅盖。
镬锈灰	ghoh32sei21hue23	锅底灰。
铲刀	tshe33tau44	锅铲。
筷	khua34	筷子。
竹筒	tsoh32don23	筷筒。
抄	tshau44	勺子。
饭抄	ve21tshau44	盛饭用的勺。
勺	zah13	盛汤用的大勺子。
铜勺	don13zah21	
调羹	diau13ken21	汤匙。
广勺	kuaon33zah4	一种有木柄的舀水工具，灶间专用。
盆子	ben13tseh21	
盘	boe113	见ben tseh。盆子。
碟	dih13	
碗	oe323	
饭碗	ve21oe44	①盛饭的碗。②比喻职业。
大碗	dou21oe44	
海碗	he33oe44	
汤碗	thaon32oe23	
洋瓷碗	yan13zy44oe21	
齾口	ngah32khei23	（碗上的）小缺口：碗娘[nyan]有个把~勿碍个。
豁口	huah32khei23	裂口。
酒盅	tsei33tson44	
酒杯	tsei33pe44	见tsei tson。
茶杯	zou13pe21	
茶碗	zou13oe21	见zou pe。
茶盅	zou13tson21	见zou pe。
茶盘	zou13boe21	
茶缸	zou13kaon21	
盖盖头	ke44ke44dei21	盖子。
鋬	phe34	器物的提梁。
鋬鋬头	phe44phe44dei21	见phe。
塞头	seh21dei44	塞子。
壳落[记音]头	khoh5loh5dei55	壳子。
壳壳头	khoh5khoh5dei55	见khoh loh dei。壳子。
梗梗头	kan33kan44dei44	小棍儿。
瓶	bin113	
玻璃瓶	pou32li21bin23	
塑料瓶	soh21liau44bin21	
瓮头	on44dei21	
焐窠	u44khou21	使饭菜保暖的器具，也用来比喻温暖的被窝。
蒸笼	tsen32lon23	
暖锅	noe21kou44	类似于火锅。
砂锅	sou32kou23	
钵头	peh21dei44	钵。
盐钵头	ye13peh4dei21	盛盐的小钵。
缸	kaon44	
米缸	mi2kaon44	
水缸	syu33kaon44	
泔脚缸	koe32ciah21kaon23	
砧头板	tsen32dei21pe23	切菜用的案板。
墩头板	ten32dei21pe23	见tsen dei pe。
切菜刀	tshih21tshe44tau21	
菜刀	tshe44tau21	
刨刀	bau13tau21	
小洋刀	siau33yan44tau44	小的折叠刀。
刀口	tau32khei23	刀刃。
篮头	le13dei21	篮子。
漏斗	lei21tei44	
箩头	lou13dei21	箩。
抹布	mah32pou23	
揩台布	kha32de21pou23	擦桌子的布。
揩布	kha32pou23	见kha de pou。
扫帚	sau44cieu21	
筿帚	diau13cieu21	见sau cieu。
粪箕	fen44ci21	①簸箕。②手指纹呈簸箕形。
畚箕	pen44ci21	见fen ci。
拖把	thou32pu23	
拖帚	thou32cieu23	见thou pu。拖把。
鸡毛掸帚	ci32mau21de21cieu23	鸡毛掸子。
提桶	di13don21	
铅桶	khe32don23	锌皮做的提水桶。
吊桶	tiau44don21	吊水用的桶。
喷水壶	phen32syu21wu23	浇水壶。
冷水壶	lan32syu21wu23	盛放冷开水的水壶。
吊子	tiau44tseh21	烧开水用的水壶。
热水瓶	nyih32syu21bin23	
面盆	mie21ben44	
缸盆	kaon32ben23	指陶制的较大的盆子。
脚盆	ciah21ben44	
浴盆	yoh21ben44	
揩面水	kha32mie21syu23	洗脸水。
面汤水	mie21thaon44syu21	见kha mie syu。洗脸水。
面布	mie21pou44	
脚布	ciah32pou23	
浴布	yoh32pou23	
揩手布	kha32shieu21pou23	擦手布。
毛巾	mau13cin21	
绢头	cioe44dei21	手绢。
火盆	hou33ben44	
手炉	shieu33lou44	
脚炉	ciah21lou44	
夜壶	ya21wu44	
痰盂	de13yu21	
马桶	mu32don23	
抽水马桶	chieu32syu21m21don23	
尿盆帚	syu32ben21cieu23	刷尿盆的洗帚。
马桶帚	mu32don21cieu23	见syu ben cieu。
揩尿布	kha32syu21pou23	小便后用来擦屁股的布。
尿布	syu32pou23	
草纸	tshau33tsyu44	
擦板	tshah32pe23	搓衣板。
汏衣裳板	da21i44zan44pe21	大的平板，可将衣物放在上面刷洗。
棒竖[记音]	baon21zyu44	洗衣服用的棒槌。
板刷	pe33seh4	见pe sih。
板刷	pe33sih4	
肥皂	bi13zau21	
肥皂粉	bi13zau44fen21	洗衣粉。
衣架	i32ka23	
夹子	kah5tseh5	
丫叉头	u32tshou21dei23	丫形的杆子，用来晾衣。
熨斗	yuin21tei44	
剪刀	tsie33tau44	
鞋油	gha13yeu21	
蒲扇	bou13soe21	
折扇	tseh32soe23	
扇子	soe44tseh21	
电风扇	die21fon44soe21	
苍蝇拍	tshaon32yin21phah23	
蚊烟香	men13ie44shian21	蚊香。
灯	ten44	
火	hou323	①灯：开~。关~。②物体燃烧时所发出的光和焰。③生气：你拿佗弄~咧。
油盏头	yeu13tse44dei21	油灯。
梅花灯	me13hu44ten21	烧煤油的灯，一般带有灯罩。
灯笼	ten32lon23	
日光灯	nyih21kuaon44ten21	
电灯	die21ten44	
台灯	de13ten21	
壁灯	pih21ten44	
吊灯	tiau44ten21	
霓虹灯	nyi13ghon44ten21	
插头	tshah21dei44	
风棚	fon32ban23	变压器。为洋泾浜英语，由transformer音译而来。
弹簧	de21waon44	
三角架	se32koh21ka23	
钟	tson44	
浆糊	tsian44wu21	
针	tsen44	
沿[记音]线	ye32sie23	绣花针。
顶针	tin32tsen23	
顶针箍	tin32tsen21ku23	见tin tsen。
结镊子	cih5nyih5tseh5	镊子。
镊子	nyih5tseh5	
洋机	yan13ci21	缝纫机。
作马	tsoh32mu23	木匠用凳。
牵锥	chie32tse23	锥子。
长刨	zan13bau21	
推刨	the32bau23	
短刨	toe33bau44	
解	ga13	①锯开（木头等）：拿木头~~开。②把束缚着、系着的东西打开：拿鞋衣带~~开。
洋钉	yan13tin21	钉子。
凿子	zoh21tseh4	
老虎钳	lau32hu21jie23	
旋凿	zie13zoh21	起子。
扳手	pe33shieu44	扳手。
压勿煞	ah5feh5sah5	千斤顶。
法兰	fah21le44	使管子与管子相互连接的零件，连接于管端。是英文flange的音译。
泡立水	phau44lih4syu21	虫胶清漆，为英文polish的音译。
男人	noe13nyin21	
男人家	noe13nyin44ka21	见noe nyin。
男同志	noe13don44zyu21	见noe nyin。
女人	nyu21nyin44	
女人家	nyu21nyin44ka21	见nyu nyin。
女同志	nyu21don44zyu21	
佬小	lau32siau23	①小孩。②称呼自己或别人的子女。
小朋友	siau44ban44yeu21	
小佬小	siau33lau44siau44	小孩子。
男佬小	noe13lau44siau21	男孩。
毛丫头	mau13u44dei21	①小姑娘。②未婚女青年。③女儿，背称。
阿公	a44kon21	小孩对老头儿的尊称。
阿婆	a44bou21	小孩对老太太的尊称。
老太	lau32tha23	老太太。
老太婆	lau21tha44bou21	①老太太，有时含贬义。②年纪大的人对自己妻子的称呼。
老老头	lau32lau21dei23	①老头儿，有时含贬义。②年纪大的人对自己丈夫的称呼。
小伙子	siau44hou44tseh21	
小姊妹	siau44tsi44me21	闺蜜。
小姐	siau33tsia44	①对一般年轻女子的尊称。②称呼自己或别人的女儿。
主人	tsyu33nyin44	
客人	khah21nyin44	
道伴	dau21boe44	伙伴。
自家人	zy21ka44nyin21	自己人。
客边人	khah21pie44nyin21	外路人。
熟视人	zoh32zy21nyin23	熟人。
陌生人	mah21san44nyin21	
房客	vaon13khah21	
房西	vaon13si21	
房东	vaon13ton21	
城里人	zen13li44nyin21	
乡下人	shian32wu21nyin23	
外地人	nga21di44nyin21	
东洋人	ton32yan21nyin23	旧时称日本人。
寡妇	ku33vu44	
寡妇	kua33vu44	见ku vu。
寡公	ku33kon44	鳏夫。
寡公	kua33kon44	见ku kon。
单身汉	te32sen21hoe23	光棍。
二婚头	nyi21huen44dei21	第二次结婚的人。
姘头	phin32dei23	情夫情妇。
三三婆	se32se21bou23	指娼妓，引申为作风不正经的女人。
贼骨头	zeh32kueh21dei23	①小偷。②队小孩的昵称：细~。
贼	zeh13	小偷。
贼偷	zeh21thei44	家中被偷。
大贼偷	dou21zeh4thei21	家中被偷了许多东西。
叫花子	kau44hu44tseh21	乞丐。
孛相人[记音]	beh21sian44nyin21	游荡无业的流氓。
瘪三	pih21se44	旧称无正当职业而以乞讨或偷窃为生的城市游民。②骂人的话。
小瘪三	siau33pih4se44	①骂小孩的话。②对小孩的昵称。
小八辣子[记音]	siau33pah4lah4tsy44	指微不足道的小人物，源于“小靶子”。“八辣”为“靶”的反切。也可叫“小兵辣子”、“小逼辣子”等。
小兵辣子[记音]	siau33pin44lah4tsy44	见siau pah lah tsy。
小逼辣子[记音]	siau33pih4lah4tsy44	见siau pah lah tsy。
獃大[无字]	ge13dou21	见ge dei。
獃头[无字]	ge13dei21	①傻子，智障人。②指不聪明或做事情糊涂的人：你个~，人家耍你个啘。
戆大[无字]	gaon21dou44	见gaon dei。
戆头	gaon21dei44	见ge dei。
寿头	zei21dei44	猪头，比喻行为举止滑稽或有趣的人。
书独[记音]头	syu32doh21dei23	书呆子。
刻执头人	kheh5tseh5dei55nyin55	做事情认真的人。
老实头人	lau32zeh21dei21nyin23	老实的人。
懒胚	le21phe44	懒惰的人，是一种昵称。
捣蛋鬼	tau33de44ciu44	
讨债鬼	thau33tsa44ciu44	①讨债者。②骂向自己要这要那的子女，有时是一种昵称。
大块头	dou21khue44dei21	胖子。
老油条	lau21yeu44diau21	老滑头。
打煞胚	tan33sah4phe4	称经常被打的小孩。
半吊子	poe44tiau44tseh21	指做事不认真、有始无终的人。
雌雄婆	tshy32yon21bou23	两性人，也用来骂人。
喳啦婆	tsa32la21bou23	指女子说话嗓门大，叽叽喳喳。
十三点	zeh21se44tie21	形容傻里傻气或言行不合常理的人，有时也用来作为取笑、嗔怪或不伤感情的骂人话。
蜡烛	lah21tsoh4	比喻不知好歹、不识抬举的人。
煨灶猫	ue32tsau21mau23	原指常偎在灶头取暖的猫，现在多指经常生病体质虚弱的人，也用来形容人萎靡不振。
赤佬	tshah32lau23	①鬼。②骂人的话，有时也是一种昵称。
赤佬	tsheh32lau23	见tshah lau。
小赤佬	siau33tshah4lau44	骂小孩的话，有时候是一种昵称。
小赤佬	siau33tsheh4lau44	见siau tshah lau。
棺材头	koe32ze21dei23	骂人的话，有时候是一种昵称。
棺材	koe32ze23	见koe ze dei。
小棺材	siau33koe44ze44	骂小孩的话，有时候是一种昵称。
老棺材	lau21koe44ze21	骂大人的话，有时候是一种昵称。
神经病	zen13cin44bin21	①精神病患者。②骂人的话，说人行为不正常。
猪头三	tsyu32dei21se23	“猪头三牲”的省略，泛指那些处事愚蠢、不灵光、优点戆头戆脑的人。
王八蛋	waon13pah4de21	①骂人的话。②流氓痞子。
猪头三牲	tsyu32dei21se21sen23	见tsyu dei se。
轻骨头	chin32kueh21dei23	举止轻浮者。
丑八怪	chieu33pah4kua44	
贼胚	zeh21phe44	骂人只能做贼。
饭桶	ve21don44	骂人只吃饭不做事。
老面皮	lau21mie44bi21	脸皮厚的人。
杀千刀	sah32tshie21tau23	骂人罪该万死，多为女子骂丈夫的话。
出棺材	tsheh32koe21ze23	骂人的话，有时候是一种昵称。
哭死佬	khoh32sy21lau23	经常哭的小孩。
彪将	piau33tsian44	见piau tsan。
彪将	piau33tsan44	原为“婊子养”合音而成。现在用法类似于“家伙”。
人精	nyin13tsin21	指及其精明的人。
大好佬	dou21hau44lau21	①了不起的人物。②形容词，很好，太好了。
大麦头	dou21mah4dei21	“乱哄大麦头”的缩语，原指不懂农事的人，后多指没本事，不精业务之人。
乱哄大麦头	loe21hon44dou44mah4dei21	见dou mah dei。
青头	tshin32dei23	①混混。②指懂得的道理，“有青头”即懂道理，“呒不青头”即不懂事：你个佬小呒不~，孛相[beh sian]到老老晚。
有青头	yeu21tshin44dei21/yeu21 tshin32dei23	见tshin dei。懂道理。
呒不青头	m13peh4tshin44dei21	见tshin dei。不懂事。
山人	se32nyin23	旧指隐居山林的文士。在无锡话中用来形容不谙世事，做事呆板的人。
天狗精	thie32kei21tsin23	指极其顽皮的小孩。
皮拆货	bi13tshah4hou21	指特别顽皮的小孩：伊个~，管也[gha]管勿好。
户头	wu21dei44	①特指恋爱对象：你俚只~坏的。②生意上的主顾。③在银行设立的账号。
肉祖宗	nyoh32tsou21tson23	谑称爱吃肉的人。
闯祸胚	tshaon33ghou44phe44	
屁精	phi44tsin21	指油头粉面的人，尤指男同性恋中扮女的的一方。
连档	lie13taon21	①同党，托。②串通。
连档模子	lie13taon44mu44tsy21	托儿。
阿木林	ah5moh5lin55	傻瓜，为英语a moron的音译。
阿末佬佬	ah5mah5lau55lau55	指最后一个人。
阿末佬佬	ah5meh5lau55lau55	指最后一个人。
宝货	pau33hou44	活宝。
性急头人	sin44cih4dei44nyin21	急性子的人。
拆匠	tshah32zian23	形容调皮的，爱损坏东西的人。
青面皮	tshin32mie21bi23	指动不动就爱板起脸发脾气的人。
青肚皮活狲	tshin32dou21bi21weh21sen23	比喻记不住教训的人。
恘货	chieu32hou23	犹言坏东西。
贱骨头	zie21kueh4dei21	骂人轻贱。
倒头光	tau33dei44kuaon44	指一有钱就马上花光的人。
倒头鬼	tau33dei44ciu44	骂人该死。
钉头货	tin32dei21hou23	指脾气倔而不知变通的人。
畔[记音]房小姐	boe21vaon44siau44tsia21	多指躲在房中不爱出门的女孩子。
蚌哭精	ban21khoh4tsin21	传说中的蚌壳里的美女，由于无锡话“碰哭”与“蚌壳”同音，因此又指一碰就哭的小孩。
偷来人生	thei32le21nyin21sen23	指做事糊涂的人。
捷[记音]里婆	zih32li21bou23	指话多吵闹的女子。
猪卵泡	tsyu32loe21phau23	猪的膀胱，用于称呼男性。
脱底棺材	theh32ti21koe21ze23	比喻常把钱花得一分不剩的人。
滑头	wah21dei44	指油滑的人。
孽障	nyih32tsan23	①罪恶。②指不孝子弟。
糙糟货	tshau32tsau21hou23	指不思进取，不成器的人。
拔脚花狸猫	bah21ciah4hu44li44mau21	比喻经常野在外头不回家的人。
霉壳子	me13khoh4tseh21	指不走运的人。
恶讼师	oh21son44sy21	指特别恶毒的人。
多奶头	tou32na21dei23	多余的人或物。
老人婆	lau32nyin21bou23	一般指能说会道，不怕生的小女孩。
生活	san32weh23	工作。
工作	kon32tsoh23	见san weh。
工人	kon32nyin23	
师父	sy32vu23	
师母	sy32mou23	
师傅	sy32vu23	①对一般男同志的尊称。②对有专门技艺的工匠的尊称。
帮工	paon32kon23	
长工	zan13kon21	
短工	toe33kon44	
农民	nyon13min21	
生意人	san32i21nyi23	
老板	lau21pe44	
东家	ton32ka23	见lau pe。
老板娘	lau21pe44nyan21	
伙计	hou33ci44	店员。
同事	don13zy21	
学生子	ghoh21san44tseh21	学生。
同学	don13ghoh21	
朋友	ban13yeu21	
匠人	zian21nyin44	工匠。
匠人师傅	zian21nyin44sy44vu21	对工匠的尊称。
木匠	moh32zian23	
泥水匠	nyi13syu44zian21	
裁缝	ze13von21	
裁缝	ze13ven21	
剃头个	thi44dei44keh21	理发师。
大司务	dou21sy44vu21	对手艺工匠的尊称，常专指厨师。
大司务	dou21sy44wu21	见dou sy vu。
厨师傅	zyu13sy44vu21	
佣人	yon21nyin44	
妈妈娘	ma13ma44nyan21	奶妈。
临时工	lin13zyu44kon21	
合同工	gheh21don44kon21	
农民工	nyon13min44kon21	
钟点工	tson32tie21kon23	
手艺人	shieu33nyin44nyin44	
掮客	jie13khah21	
掮客	jie13kheh21	见jie khah。
茶房	zou13vaon21	
军人	ciuin32nyin23	
警察	cin44tshah21	
射尿警察	za21syu44cin44tshah21	民间对交巡警的谑称。
医生	i32sen23	
郎中	laon13tson21	见i sen。
江湖郎中	kaon32wu21laon21tson23	
售票员	zei21phiau44yoe21	
顾客	ku44khah21	
内勤	ne21jin44	
外勤	nga21jin44	
人工	nyin13kon21	①工人。②工时。
底下人	ti33wu44nyin44	
生手	san32shieu23	
熟手	zoh32shieu23	
老手	lau32shieu23	见zoh shieu。
监工	ke32kon23	
值班长	zeh21pe44tsan21	
头头	dei13dei21	
大亨	da21han44	旧时指有权势或富贵的人。
老师	lau21sy44	
教师	ciau44sy21	
教书先生	kau32syu21sie21san23	
先生	sie32san23	老师。
测字先生	tsheh32zy21sie21san23	
算命先生	soe44min44sie44san21	
护士	wu21zy44	
演员	ie44yoe21	
戏子	shi44tsy21	
清洁工	tshin32cih21kon23	
拾拉细人	zih21la44si44nyin21	捡垃圾的。
讨饭叫花子	thau33ve44kau44hu44tsy21	
削刀磨剪刀	siah21tau44 mou13tsie44tau21	走街串巷磨刀者。
箍桶个	ku32don21keh23	箍桶匠。
修棕绑个	sei32tson21pan21keh23/sei44 tson32pan21keh23	
摆摊头个	pa33the44dei44keh4/pa323-23 the32dei21keh23	
挑货担个	thiau32hou21te21keh23/thiau44hou44te44keh21	
卖拳头个	ma21jioe44dei44keh4/ma213-13 jioe13dei44keh21	指街头卖艺的人。
换糖佬佬	woe21daon44lau44lau21	以麦芽糖换购废品的人。
一家罗门	ih32ku21lou21men23	一家子。
辈分	pe21ven44	
长辈	tsan33pe44	
太公	tha44kon21	曾祖父。
太太	tha44tha21	曾祖母。
太婆	tha44bou21	见tha tha。
爷爷	ya13ya21	爷爷。
亲娘	tshin32nyan23	奶奶。
嗯娘	n32nyan23	见tshin nyan。奶奶。
嗯娘	ng32nyan23	见tshin nyan。奶奶。
舅公	jieu21kon44	①外公。②奶奶以及外公、外婆的兄弟。
舅婆	jieu21bou44	①外婆。②奶奶以及外公、外婆的兄弟的妻子。
爷	ya113	父亲，背称。
爷老头子	ya13lau44dei44tseh21	父亲，背称。
爹爹	tia44tia21	父亲，面称。
爸爸	pa44pa21	见tia tia。
娘	nyan113	母亲，背称。
姆妈	'''m44ma21'	母亲，面称。
妈妈	'''ma44ma21'	
爷娘	ya13nyan21	父母，背称。
老丈人	lau32zan21nyin23	背称，当面叫随妻子。
丈母娘	zan32m21nyan23	背称，当面叫随妻子。
阿婆	ah21bou44	婆婆，背称，当面叫随丈夫。
阿公	ah21kon44	公公，背称，当面叫随丈夫。
老伯伯	lau21pah4pah21	①伯父。②对较自己父亲年长者的称呼。
阿姆娘	ah32m21nyan23	伯母。
叔叔	soh5soh5	
婶婶	sen33sen44	
娘舅	nyan13jieu21	舅舅。
舅舅	jieu32jieu23	见nyan jieu。
阿舅	a44jieu21	见nyan jieu。
舅母	jieu32m23	舅妈。
娘娘	'''nyan44nyan21'	姑姑，年岁大于父亲。
伯伯	pah5pah5	姑姑，年岁小于父亲。
姑父	ku32fu23	
阿姨	a44yi21	①母亲的姐妹。②称呼与自己母亲同辈的中青年妇女。
姨夫	yi13fu21	
姨父	yi13vu21	
姑婆	ku32bou23	双亲的姑母。
姑公	ku32kon23	双亲的姑母的丈夫。
姨婆婆	yi13pou44pou21	双亲的姨母。
姨婆	yi13pou21	见yi bou bou。
姨公公	yi13kon44kon21	双亲的姨母的丈夫。
姨公	yi13kon21	见yi kon kon。
平辈	bin13pe21	
公婆两个	kon32bou21lian21keh23	夫妻二人。
老倌	lau32koe23	丈夫。
老婆	lau21bou44	
阿姆	ah32m23	老婆。
屋里人	ueh32li21nyin23	老婆。
家主婆	ka44tsyu44bou21	老婆。
男人	noe13nyin21	背称，丈夫。
女人	nyu21nyin44	背称，妻子。
小老婆	siau33lau44bou44	
阿叔	ah5soh5	丈夫的弟弟。
阿伯	ah5pah5	丈夫的哥哥。
姑娘	ku32nyan23	丈夫的姐妹。
阿舅	ah32jieu23	妻子的兄弟。
阿姨	ah21yi44	①妻子的姐妹。②对年老妇女的称呼，前可加姓氏，如“张阿姨”、“李阿姨”。
兄弟	shion32di23	
姊妹	tsi33me44	兄弟姐妹。
姊妹	tsy33me44	兄弟姐妹。
阿哥	ah21kou44	哥哥。
阿嫂	ah32sau23	嫂子。
弟子	di21tseh4	弟弟。
弟新妇	di21sin44vu21	弟妹。
阿姐	ah21tsia44	姐姐。
姐夫	tsia33fu44	
妹子	me21tseh4	妹妹。
妹夫	me21fu44	
堂兄弟	daon13shion44di21	
堂阿哥	daon13ah4kou21	
堂弟子	daon13di44tseh21	
堂阿姐	daon13ah4tsia21	
堂妹子	daon13me44tseh21	
表兄弟	piau33shion44di44	
表阿哥	piau33ah4kou44	
表弟子	piau33di44tseh4	
表姊妹	piau33tsy44me44	
表姊妹	piau33tsi44me44	
表阿姐	piau33ah4tsia44	
表妹子	piau33me44tseh4	
小辈	siau33pe44	
儿子	nyi13tseh21	
新妇	sin32vu23	儿媳妇。
大娘子	dou21nyan44tseh21	①儿媳妇。②结过婚，生过孩子的妇女。
大儿子	dou21nyi44tseh21	
长子	tsan33tsy44	见dou nyi tseh。
老大	lau32dou23	
阿大	ah32dou23	见lau dou。
老二	lau32nyi23	
阿二	ah32nyi23	见lau nyi。
阿三	ah21se44	老三。
小儿子	siau33nyi44tseh4	
囡儿	nou21nyi44	女儿。
囡儿	nou21ng44	见nou nyi。女儿。
女婿	nyu32si23	
姑爷	ku32ya23	见nyu si。女婿。
孙子	sen32tseh23	
孙新妇	sen32sin21vu23	孙媳妇。
孙囡儿	sen32nou21nyi23	孙女。
孙囡儿	sen32nou21ng23	见sen nou nyi。孙女。
孙女婿	sen32nyu21si23	
重孙	zon13sen21	
重孙囡儿	zon13sen44nou44nyi21	重孙女。
重孙囡儿	zon13sen44nou44ng21	见zon sen nou ng。重孙女。
外甥	nga21san44	①外甥。②外孙。
外甥囡儿	nga21san44nou44nyi21	①外甥女。②外孙女。
外甥囡儿	nga21san44nou44ng21	见nga san nou nyi。
连襟	lie13cin21	
伯母	pah32m23	丈夫哥哥的妻子。
摆姆	pa32m23	见pah m。
伯母道里	pah32m21dau21li23	犹指妯娌们。
摆姆道里	pa32m21dau21li23	见pah m dau li。
亲家	tshin44ka21	
亲家公	tshin44ka44kon21	
亲家姆	tshin44ka44mou21	
亲眷	tshin32cioe23	亲戚。
亲亲眷眷	tshin32tshin21cioe21cioe23	亲戚们。
走亲眷	tsei33tshin44cioe44/tsei323-23 tshin32cioe23	走亲戚。
多奶头	tou32na21dei23	指女方带的子女，类似于拖油瓶。
娘家	nyan13ka21	
婆家	bou13ka21	
养新妇	yan21sin44vu21	童养媳。
晚娘	me21nyan44	后妈。
晚爷	me21ya44	后爸。
寄爷	ci44ya21	干爸。
寄娘	ci44nyan21	干妈。
寄儿子	ci44nyi44tseh21	干儿子。
寄囡儿	ci44nou44nyi21	干女儿。
心肝头	sin32koe21dei23	对孩子的爱称。
乖心肝	kua32sin21koe23	见sin koe dei。
心肝宝贝	sin32koe21pau21pe23/sin32koe23 pau33pe44	见sin koe dei。
阿囡	ah21noe44	对孩子的爱称。
囡囡	noe44noe21	见ah noe。
独养囡儿	doh32yan21nou21nyi23	独生女。
独养囡儿	doh32yan21nou21ng23	见doh yan nou nyi。独生女。
独养儿子	doh32yan21nyi21tseh23	独生子。
结拜弟兄	cih32pa21di21shion23	结拜兄弟。
身体	sen32thi23	
身娘[记音]	sen32nyan23	身上。
身胚	sen32phe23	体型。
浑身	wen13sen21	全身。
发身头娘[记音]	fah32sen21dei21nyan23	开始发育。
原生头	nyoe13san44dei21	指完好无缺的，引申为处男、处女。
力气	lih32chi23	
气力	chi44lih21	见lih chi。力气。
力身	lih21sen44	指花费的精力、力气：造间房子要几化[ci hu]~的！
力道	lih32dau23	力气和力量。
头	dei113	
骷髅头	khu32lou21dei23	头。
骷郎头[记音]	khu32laon21dei23	头。
骷髅头	khu32lei21dei23	头。
头脑壳	dei13nau44khoh21	脑袋。
头顶心	dei13tin44sin21	
头发	dei13fah21	
头皮	dei13bi21	
毻头发	thou44dei44fah21	掉头发。
头皮屑	dei13bi44sih21	
秃头	thoh21dei44	
秃顶	thoh32tin23	
平顶头	bin13tin44dei21	平头发型。
板刷头	pe33sih4dei44	见bin tin dei。
板刷头	pe33seh4dei44	见bin tin dei。
前刘海	zie13lei44he21	
刘海	lei13he21	
辫子	bie21tseh4	
额角头	ngah32koh21dei23	①额角。②幸运，侥幸：你是真真~瓦。
天门	thie32men23	人额头的中间。
天庭	thie32din23	见thie men。
太阳堂	tha44yan44daon21	太阳穴。
面孔	mie21khon4	脸。
覅面孔	fiau44 mie21khon44	不要脸：你个人哪会~个撒！
面头子	mie21dei44tsy21	脸，引申为形象：出去~要弄弄好。
面架子	mie21ka44tseh21	脸盘。
肉嘴肉面	nyoh21tsyu44nyoh4mie21	脸上肉较多，胖乎乎的。
面颊骨	mie21cih4kueh21	脸颊。
面相	mie21sian44	脸的样子。
甲子斑	ciah32tsy21pe23	雀斑。
酒瘪洞	tsei33pih4don44	酒窝。
人中	nyin13tson21	
眼睛	nge21tsin44	
眼乌碌珠	nge32u21lou21tsyu23	
白眼乌珠	bah32nge21u21tsyu23	
黑眼乌珠	heh32nge21u21tsyu23	
斗鸡眼	tei44ci44nge21	
斋[记音]巴眼	tsa32pa21nge23	斜视眼，引申为眼睛不好使，或不认真看：你真真是~，就勒眼门前就是看勿见。
眼泡	nge32phau23	
眼角	nge32koh23	
眼梢	nge21sau44	
眓眼梢/豁眼梢	huah32nge21sau23	
眼泪水	nge32li21syu23	
眼泪	nge32li23	
眼眵	nge32tshy23	
眼皮	nge21bi44	
单眼皮	te32nge21bi23	
双眼皮	saon32nge21bi23	
眼界	nge32ka23	目力所及的范围，引申为见识的广度。
眼睫毛	nge32zih21mau23	
眼睫毛	nge32tshiah21mau23	
张开眼睛	tsan32khe23 nge21tsin44	
闭拢眼睛	pi33lon44 nge21tsin44	
坦/袒眼皮	the33nge44bi44	①下眼皮下垂并往外翻出。②丢脸，难为情：哭死佬，~个啘。
眉毛	mi13mau21	
皱眉头	tsei44mi44dei21	上眼皮。
鼻头	beh21dei44	鼻子。
鼻头管	beh21dei44koe21	鼻孔。
鼻毛	bih21mau44	
鼻梁	bih21lian44	
鼻头尖	beh21dei44tsie21	鼻尖。
红鼻头	ghon13beh4dei21	
塌鼻梁	thah5bih5lian55	
鼻涕	beh32thi23	
清水鼻涕	tshin32syu21beh21thi23	
黄脓鼻涕	waon13nyon44beh4thi21	
鼻屎肯[记音]	beh32sy21khen23	
嘴	tsyu323	
嘴唇瓣	tsyu33zen44be44	嘴唇。
翘嘴	chiau44tsyu21	噘嘴。
豁嘴	huah32tsyu23	嘴唇有裂。
馋唾水	ze13thou44syu21	
馋唾	ze13thou21	
漏馋	lei21ze44	无知觉地流口水。
舌头	zeh21dei44	
舌尖	zeh21tsie44	
舌苔	zeh21the44	
大舌头	dou21zeh4dei21	
小舌头	siau33zeh4dei44	
牙齿	nga13tshy21	
门牙	men13nga21	
盘牙	boe13nga21	
虎牙	hu33nga44	
坨坨牙	dou13dou44nga21	多出来的牙齿。
抓耙牙齿	tsa32bu21nga21tshy23	龅牙。
耳朵	nyi32tou23	
耳朵屎	nyi32tou21sy23	
耳朵洞	nyi32tou21don23	
耳朵翎[记音]子	nyi32tou21lin21tseh23	耳垂。
耳光	nyi13kuaon21	
吃耳光	chih32nyi21kuaon23/chih5 nyi13kuaon21	
鱼罐头[记音]	ng13koe44dei21	下巴。
胡[记音]咙	wu13lon21	喉咙。
学[记音]咙	ghoh13lon21	见wu lon。喉咙。
胡[记音]咙头	wu13lon44dei21	喉咙里，喉咙口。
老呣须	lau21m44sou21	胡子。
拉带胡子[记音]	la21ta44wu44tsy21	络腮胡。
颈根	cin33ken44	脖子。
头颈骨	dei13cin44kueh21	脖颈子。
肩架	cie32ka23	肩膀。
坦/袒肩架	the33cie44ka44	美人肩。
笡肩架	tshia33cie44ka44	歪斜的肩膀。
〇肩架[无字]	tsha33cie44ka44	见tshia cie ka。
背梁脊骨	pe44lian44tsih4kueh21	
算盘珠	soe44boe44tsyu21	比喻脊梁骨，因为脊梁骨一节一节形同算盘上的珠子。
手臂	shieu33pi44	
